Name,ReviewCount,Brand,ImageURL,Rating
"ACT Braces Care Anticavity Mouthwash (18 Oz, Clean Mint)",32.0,ACT,https://i5.walmartimages.com/asr/a7fa6e41-316f-462b-8a94-11672f45a012.6edbcaff25bf6c50ad5df081f4d54213.jpeg | https://i5.walmartimages.com/asr/db3dde78-bf56-457e-aa32-d301f4e9f2d6.a921e7cc4a46e5bde643d4c57b4446ed.jpeg | https://i5.walmartimages.com/asr/464f7d12-b9d7-454e-be81-32e3e4dedae3.e96ec2524345e7108bd7089098af0eeb.jpeg | https://i5.walmartimages.com/asr/3d029b1a-fec7-4095-a09f-3667ce1ba3cd.18646e84c25dd9874b11238ffe9a0eeb.jpeg | https://i5.walmartimages.com/asr/3942ef90-1287-4da0-845c-156429ab69d8.dd2337ac83edee44f3b9cf6b63d86a52.jpeg | https://i5.walmartimages.com/asr/c2121121-9ea4-4074-9dea-d63f2af20ee3.be0aa0ebe05bf16942fd7db504f52eb2.jpeg | https://i5.walmartimages.com/asr/ba8b3cee-1745-474d-9fee-a9aa1273104a.875be8f2e9d79a38580b31ceaee27fc6.jpeg,5.0
"Versace Man Eau Fraiche Eau De Toilette Spray, Cologne for Men, 1 Oz",24.0,Versace,https://i5.walmartimages.com/asr/edaaeed5-9da0-48b8-861f-50165d5fd930_1.3c03e869a55226a4718f313c00f76071.png | https://i5.walmartimages.com/asr/e57d2d1a-cf1d-4c4f-9721-3d83af729eaf_1.51af97bdaa2a960be97936a8011931fb.jpeg,5.0
"Tree Hut Shea Sugar Scrub Passion Fruit & Guava, 18oz, Ultra Hydrating and Exfoliating Scrub for Nourishing Essential Body Care",22.0,Tree Hut,https://i5.walmartimages.com/asr/be83d31d-81cf-48b8-b248-1f33e7377db7_1.7ccaa922e325a5a6d97827adf617ca28.jpeg | https://i5.walmartimages.com/asr/b2064d88-c9c0-4756-ac8d-a436f051d29f_1.ce83df1f27479c41ab1e551e216d3fdf.jpeg | https://i5.walmartimages.com/asr/96ca9dd9-a358-4fad-a4c8-bd73d70b5581_1.847a2903422ebebe6e80540f789bac70.jpeg | https://i5.walmartimages.com/asr/51f7524b-97df-4313-af86-dbe663c15167_1.dfb1b9bbe5e09e41fac3311a768d560a.jpeg | https://i5.walmartimages.com/asr/8386d86e-6d54-4234-b899-7c6e2a33364f_1.9bd95c6748a2ce775cba2d2a237f688e.jpeg | https://i5.walmartimages.com/asr/019e6eed-aa9b-4661-abdd-368e1c15915d_1.e0ef429ac9cb426bc043b0382ca9272e.png | https://i5.walmartimages.com/asr/f3011eed-50c3-4f51-9a77-e637e267aaaa_1.f16b0930d51008249de65e9a4499c157.jpeg,5.0
Biolage Hydrasource Conditioning Balm For Dry Hair by Matrix for Unisex - 16.9 oz Balm,21.0,Matrix,https://i5.walmartimages.com/asr/4a0904fb-a101-43eb-bc2c-14a35d747c4f_1.c492c8569b6664d56c16c07142453791.jpeg | https://i5.walmartimages.com/asr/dcae5c81-d2e5-4bca-8b2c-f2c78d22a8dc_1.6445d556c72e887904a9b487056ea98d.jpeg,5.0
"Ardell Double Up False Eyelashes, 203",19.0,Ardell,https://i5.walmartimages.com/asr/7c7534ab-b6ea-41ee-a2f1-6e2396b38663_1.ba5e8aaec4ae774995d5e28ee24debd2.jpeg | https://i5.walmartimages.com/asr/bd4c8f7c-0d0a-4663-9102-d878bf1a77e7_1.a498c1d2bfc3b3b4a0bd725b6d26ab15.jpeg,5.0
"Hello Kids Fluoride Free and SLS Free Rinse, Natural Watermelon, 16oz",19.0,Hello,https://i5.walmartimages.com/asr/6998ff2c-58be-408a-a4fb-952a659a118e.61cb81dd2311251b22e2eccdb006b848.jpeg | https://i5.walmartimages.com/asr/bffcca95-cd23-42e8-805b-3925c0f46147_1.9f1fac5a488846087bb929540e45f1ae.jpeg | https://i5.walmartimages.com/asr/0255284d-b216-437a-a56f-15cb2e2e6ca7_2.61adf00b7be4feed5b98ae1317de7198.jpeg | https://i5.walmartimages.com/asr/ed594403-9af4-49d5-b9ec-c1d609d85d0c_1.fb014fdfd7bbe0b8deba3d22824d22f1.jpeg | https://i5.walmartimages.com/asr/f5d3ffa4-0ec0-4cf5-bbd0-84affddacf16_2.80ef8eaf0199ec3b313eae5859b4b968.jpeg,5.0
"ReNew Life CleanseMore, Veggie Caps, 60 ea",15.0,Renew Life,https://i5.walmartimages.com/asr/9f707fe4-9ee3-4dc5-b230-0005d2ba6f29_1.3b8ea51118f73b8528bbc6b808dd4ba4.jpeg | https://i5.walmartimages.com/asr/3fdd4912-70c4-4d75-bb00-72e390c9d6ac_1.db8927d28da7bb33697d9eff3b206fb8.jpeg,5.0
"Gaiam Kids Yoga Mat Pink Zebra, 4mm",13.0,Gaiam,https://i5.walmartimages.com/asr/1e3a766f-4185-4e3d-90d9-5f37ddb14ae3_1.458419043c542018f17a471fef1efbe8.jpeg | https://i5.walmartimages.com/asr/0f1c4128-139a-4ed3-8559-66d8a5d6ebc6_1.cfc4f11d948560f7dee11db11b90156f.jpeg | https://i5.walmartimages.com/asr/5dc416f1-1dcf-4dc5-83dd-d1c7103b651a_1.bff4ba1663193c385ae71b88c48751c7.jpeg | https://i5.walmartimages.com/asr/9373f6fe-fcbf-48c8-a997-fbc2906aac1e_1.59b8e9a2ec06ad05963349ce9af5309b.jpeg | https://i5.walmartimages.com/asr/a987b230-f64a-4415-8e06-27b9abc4f54d_1.6e75ee1f4cc0f6c5e1d184adecd69953.jpeg | https://i5.walmartimages.com/asr/733a6ec9-c56e-4a2a-a02a-44a33b25c775_1.f0b27ed4272d857a0331b4a7f5f23602.jpeg,5.0
"(2 Pack) Pro Styl Vitamin &quotE&quot Oil, 6 Oz",13.0,V.I.P.,https://i5.walmartimages.com/asr/b31a925f-cb2a-4634-802e-eb71b37b4953_1.d94bcc2564203e24e22d181b1705dbb0.jpeg,5.0
"Pureology Hydrating Conditioner, 33.8 Oz",13.0,Pureology,https://i5.walmartimages.com/asr/909554f4-cc0a-41bf-bf91-c8ab53d699b9_1.8e7369b6deaca73469187d649e979d55.jpeg | https://i5.walmartimages.com/asr/14bd6b1d-9c5d-4737-afdd-54b84ae679af_1.794a2f082ee0f3d098089be2b254ca37.jpeg,5.0
